Data_Pool,Data_Connection,Table,Size(B),Last_Updated
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,VBRK,162887.68,2020-11-08 00:38:00
SAP ECC - FI-AR ABeam Template v1,ABeam Cloud R2M,VBRK,126248.96,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,VBPA,232151.04,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,VBPA,228208.64,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,VBPA,14879293.44,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,VBPA,984217.6,2020-11-08 00:38:00
SAP ECC - FI-AP ABeam Template v1,SAP ECC,VBKPF,72847.36,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,VBKD,113295.36,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,VBKD,112701.44,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,VBKD,7717519.36,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,VBKD,537743.36,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,No info,VBFA_IC,8881438.72,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,VBFA_GI,203489.28,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,VBFA_GI,12247367.68,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,VBFA_GI,531640.32,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,VBFA,315115.52,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,VBFA,10391388.16,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,VBFA,997560.32,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,VBFA,222146.56,2020-11-08 00:38:00
SAP ECC - FI-AR ABeam Template v1,ABeam Cloud R2M,VBFA,393635.84,2020-11-08 00:38:00
SAP ECC - WM ABeam Template v1,ABeam Cloud R2M,VBFA,1310720.0,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v1,ABeam Cloud R2M,VBEP,364175.36,2020-11-08 00:38:00
test for new extractor server,ABeam GF1,VBEP,175953.92,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,VBEP,444631.04,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R8D,VBEP,24431820.8,2020-11-08 00:38:00
SAP ECC - O2C ABeam Template v2,ABeam Cloud R2M,VBEP,1667235.84,2020-11-08 00:38:00
SAP ECC - PS ABeam Template v1,ABeam Cloud R2M,VBAP,978001.92,2020-11-08 00:38:00
SAP S/4HANA - O2C Created by ABeam Cloud,ABeam Cloud R2Q,VBAP,528609.28,2020-11-08 00:38:00
